Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
88,Trzebownisko,E,339.52,153.68,"
1.29",rzeszowski
89,Uszkowce,Z,-,-,-,lubaczowski
90,Wierzchosławice,E,106.02,72.79,0.23,"bocheński, brzeski,
tarnowski"
91,Wola Obszańska,E,310.58,251.55,"
29.66","biłgorajski,
lubaczowski"
92,Wola Rokietnicka,P,109.53,84.02,-,"jarosławski,
przemyski"
93,Wola Zarczycka,P,16.00,-,-,leŜajski
94,Wygoda,E,11.01,0.49,0.64,dębicki
95,Zagorzyce,E,152.04,"
75.12",16.90,"ropczycko-
sędziszowski"
96,Zalesie,E,2 432.97,62.31,153.93,m.Rzeszów
97,ZałęŜe,P,152.31,"
134.70",-,"m.Rzeszów,
rzeszowski"
98,ołynia-LeŜajsk,E,671.50,147.50,35.66,"leŜajski, przeworski"
99,ukowice,T,"
96.72",-,-,"dębicki, tarnowski"
