Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Górzyca g),T,2,".
2",1,słubicki
1,Baranów Sand.-Skopanie,R,99 231,-,-,"staszowski,
tarnobrzeski"
2,Basznia,Z,102 528,-,-,lubaczowski
3,Grębów,R,"g
58 368",-,-,tarnobrzeski
4,Jamnica,P,42 228,-,-,"stalowowolski,
tarnobrzeski"
5,Jeziórko-Grębów-Wydrza,Z,87 135,-,-,tarnobrzeski
6,Machów I (odkrywka),"p
Z",13 965,-,-,m.Tarnobrzeg
1,".
Grzybów-Gacki",Z,1 337,-,-,"buski, staszowski"
2,Osiek,E,25 862,25 862,657,staszowski
3,Piaseczno,Z,tylko pzb.,-,-,sandomierski
4,Rudniki,P,49 950,-,-,staszowski
5,"w
Solec",P,5 576,-,-,"buski, staszowski"
6,Świniary,R,80,-,-,sandomierski
7,Wola śyzna,R,1 257,-,-,"buski, staszowski"
1,BMB g),E,524,179,21,"myśliborski, gorzowski"
2,"w
Cychry g)",E,39,3,0,myśliborski
3,Zielin g),E,6,0,2,gryfiński
