Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bukowa Góra,E,96 512,96 512,"o
967",lubański
2,Diablak,R,1 662,-,-,złotoryjski
3,Gozdanin,Z,112,-,-,zgorzelecki
4,Góra Borowa,R,430,-,-,zgorzelecki
5,Góra Kamienista,E,2 134,"g
2 134",487,lwówecki
6,Góra Trupień,E,1 901,1 746,223,jaworski
7,Grabiszyce Dolne,R,424,-,-,lubański
8,Gronowskie Wzgórza,E,11 122,9 482,352,zgorzelecki
9,Gronów,R,20 041,".
12 224",-,zgorzelecki
10,Jałowiec,M,-,-,-,lubański
11,Janowiczki,E,"i
2 495",2 254,176,strzeliński
12,Jawor-Męcinka,E,115 846,83 923,665,jaworski
13,Józef,Z,1 745,-,-,lubański
14,Kłopotno,E,"g
1 927",1 342,342,lwówecki
15,Kłopotno I -Pole 548.1,R,2 616,-,-,lwówecki
16,Kosiska-Janowice,R,tylko pzb.,-,-,"jaworski, legnicki"
17,Kostrza Góra,R,1 245,-,-,"legnicki, złotoryjski"
18,Kozia Góra,E,1 664,1 664,311,złotoryjski
19,Krzeniów,"p
E",13 950,13 950,1 723,złotoryjski
20,Księginki,Z,4 134,-,-,lubański
21,Księginki I,E,8 196,8 196,6,lubański
22,Księginki-Północ,E,18 959,15 301,932,lubański
23,Lądek-Orłowice,".
Z",113,-,-,kłodzki
24,Leśna-Brzozy,E,2 406,5 985,630,lubański
25,Liściasta Góra,R,18 780,15 895,-,lubański
26,Lubień,E,7 581,7 128,693,legnicki
27,"w
Lutynia",E,2 101,2 101,91,kłodzki
28,Męcinka I,E,8 555,8 555,185,jaworski
29,Mikołajowice,E,2 871,2 330,9,legnicki
30,Miłoszów,Z,4 779,-,-,lubański
31,Mszana-Obłoga,R,67 822,-,-,jaworski
32,Owczarek,R,2 700,-,-,jaworski
33,"w
Paszowice",R,8 500,-,-,jaworski
34,Prusice Górne,Z,467,-,-,złotoryjski
35,Radomierzyce,Z,102,-,-,zgorzelecki
37,Rębiszów,E,340,137,190,lwówecki
38,Sichów,P,11 193,-,-,".
jaworski"
39,Sulików,E,48 698,48 698,1 170,zgorzelecki
