Lp.,Nazwa,Typ wody,Zasoby geologiczne bilansowe dyspozycyjne,Zasoby geologiczne bilansowe eksploatacyjne,Pobor,Powiat
1,Ustka*,Lz,-,31.00,nie ekspl.,słupski
1,Krynica Morska,T,"i
-",44.70,nie ekspl.,nowodworski
2,Sopot*,Lz,-,44.00,29 956.00,m. Sopot
1,Konstancin*,Lz,-,9.12,1 867.00,piaseczyński
2,Marusza*,LzT,-,20.00,5 738.00,grudziądzki
3,Mszczonów*,T,-,60.00,329 092.00,Ŝyrardowski
4,Nałęczów*,"p
Ls",-,26.00,85 851.00,puławski
5,Skierniewice,T,-,86.60,nie ekspl.,m. Skierniewice
1,Ciechocinek*,LzT,-,479.00,96 168.30,aleksandrowski
2,Dziwnówek*,Lz,-,30.00,nie ekspl.,kamieński
3,Kamień Pomorski*,Lz,-,15.00,1 774.00,kamieński
4,Kołobrzeg II*,Lz,-,98.52,12 744.00,kołobrzeski
5,"w
Kotuń",LzT,-,15.70,nie ekspl.,pilski
6,Międzywodzie,Lz,-,1.40,nie ekspl.,kamieński
7,Połczyn-Zdrój*,Lz,-,2.80,1 211.00,świdwiński
8,Wieniec*,Lz,-,27.00,7 615.00,włocławski
1,Dobrów,T,-,60.00,nie ekspl.,kolski
2,"Łódź (EC-2, otw. nr 3)",T,-,126.00,nie ekspl.,m. Łódź
3,Poddębice*,T,-,190.00,nie ekspl.,poddębicki
4,Pyrzyce*,T,-,340.00,891 072.00,pyrzycki
5,Stargard Szczeciński I*,T,-,200.00,nie ekspl.,stargardzki
6,Swarzędz,T,-,76.00,"v
nie ekspl.",m. Poznań
7,Świnoujście*,Lz,-,23.80,8 596.00,m. Świnoujście
8,Uniejów*,T,-,120.00,410 412.00,poddębicki
1,Łagów,LzT,-,5.00,nie ekspl.,świebodziński
2,Trzebnica,LzT,-,6.00,nie ekspl.,trzebnicki
1,Krzeszowice I*,Lz,-,7.21,2 637.90,krakowski
1,Przerzeczyn-Zdrój*,Ls,-,7.67,5 774.00,dzierŜoniowski
1,Cieplice*,LsT,13 680.00,56.54,55 341.00,m. Jelenia Góra
2,Czerniawa-Zdrój*,Ls,"g
115.20",7.88,80.00,lubański
3,Długopole-Zdrój*,Ls,501.50,1.95,8 973.00,kłodzki
4,Duszniki-Zdrój*,LsT,1 440.00,107.48,299 775.96,kłodzki
5,Gorzanów,Lz,13 296.00,36.42,b.d.,kłodzki
6,Jedlina-Zdrój*,Lz,-,5.66,4 261.00,wałbrzyski
7,Kudowa*,"p
Lz",720.00,29.10,32 855.20,kłodzki
8,Lądek-Zdrój*,LsT,915.00,59.85,347 963.00,kłodzki
9,Polanica-Zdrój*,LsLz,6 713.00,46.42,339 382.43,kłodzki
10,".
Stare Bogaczowice",Lz,-,0.62,b.d.,wałbrzyski
11,Stare Rochowice,Lz,-,41.04,b.d.,jaworski
12,Stary Wielisław*,Lz,664.85,20.80,535.20,kłodzki
13,Szczawina*,Ls,97.00,3.40,2 935.00,kłodzki
14,Szczawno-Zdrój*,Lz,-,0.53,4 380.99,wałbrzyski
15,"w
Świeradów-Zdrój*",LzLs,108.00,19.97,8 854.00,lubański
1,Busko II*,Lz,14.58,16.75,60 871.20,buski
2,Busko-Północ*,Lz,-,6.00,20 201.35,buski
3,"w
Dębowiec II*",Lz,74.13,5.67,587.00,cieszyński
4,Dobrowoda*,Lz,-,8.00,nie ekspl.,buski
5,Goczałkowice-Zdrój*,Lz,329.80,2.34,1 413.62,pszczyński
6,Horyniec *,Ls,44.80,26.40,13 972.00,lubaczowski
7,Las Winiarski*,Lz,-,3.11,10 392.10,m. Kraków
8,Latoszyn,Lz,-,1.30,nie ekspl.,m. Kraków
9,Mateczny I*,Lz,-,8.50,"v
nie ekspl.",buski
10,Solec-Zdrój*,Lz,7.001),0.96,4 580.90,dębicki
11,Swoszowice*,Lz,-,6.16,8 055.00,buski
12,Wełnin*,Lz,1),3.00,1 517.30,buski
13,Zabłocie-Korona *,Lz,-,"o
0.64",56.48,cieszyński
1,Galicjanka*,Lz,-,2.10,972.00,nowosądecki
2,Głębokie,Lz,-,0.30,b.d.,nowosądecki
3,Iwonicz*,LzLsT,-,"g
41.09",40 220.00,krośnieński
4,Krościenko n/Dunajcem,Lz,6.032),0.13,nie ekspl.,nowotarski
5,Krynica Dolna*,Lz,57.403),3.00,32.90,nowosądecki
6,Krynica-Zdrój*,LzLs,".
57.403)",30.66,51 948.00,nowosądecki
7,Leluchów,Lz,0.84,0.40,b.d.,krośnieński
8,Łapczyca*,C,"i
32 167.43**",3.70,4 270.50,bocheński
9,Łomnica-Zdrój,Lz,32.70,20.47,nie ekspl.,nowosądecki
10,Muszyna II*,LzLs,71.40,84.09,116 502.00,nowosądecki
11,Muszynianka*,Lz,22.90,23.82,71 987.90,nowosądecki
12,Piwniczna-Głębokie*,Lz,"g
33.30",26.25,80 859.30,nowosądecki
13,Polańczyk*,Lz,-,0.75,192.70,leski
14,Rabka-Zdrój*,LzT,2.28,6.44,3 361.01,nowotarski
15,Rymanów*,Lz,-,13.47,12 978.00,krośnieński
16,Szczawa*,"p
Lz",1.00,2.53,286.20,limanowski
17,Szczawiczne*,Lz,12.20,3.69,2 446.00,nowosądecki
18,Szczawnica I*,Lz,2),2.46,781.70,nowotarski
19,Tylicz I*,Lz,48.42,12.40,20 564.82,nowosądecki
20,".
Ustroń*",LzT,25.00,2.20,5 245.00,cieszyński
21,Wapienne*,Ls,-,2.92,1 342.20,gorlicki
22,Wysowa*,LzLs,-,11.93,16 109.10,nowosądecki
23,Zubrzyk*,Lz,-,3.60,6 846.00,gorlicki
24,"w
śegiestów-Zdrój*",Lz,3.40,4.90,1 234.00,nowosądecki
1,Białka*,T,-,38.00,102 777.00,tatrzański
2,Bukowina*,T,-,40.00,274 505.00,tatrzański
3,Furmanowa,T,-,90.00,nie ekspl.,tatrzański
4,"w
Podhale 1*",T,-,670.00,3 482 280.00,"nowotarski,
tatrzański"
5,Poronin (PAN-1),T,-,70.00,nie ekspl.,tatrzański
6,Siwa Woda,T,-,5.00,nie ekspl.,tatrzański
1,Cieplice*,"p
LsT",13 680.00,56.54,55 341.00,m. Jelenia Góra
2,Czerniawa-Zdrój*,Ls,115.20,7.88,80.00,lubański
3,Długopole-Zdrój*,Ls,501.50,1.95,8 973.00,kłodzki
4,Duszniki-Zdrój*,LsT,1 440.00,107.48,299 775.96,kłodzki
5,Gorzanów,".
Lz",13 296.00,36.42,b.d.,kłodzki
6,Jedlina-Zdrój*,Lz,-,5.66,4 261.00,wałbrzyski
7,Kudowa*,Lz,720.00,29.10,32 855.20,kłodzki
8,Lądek-Zdrój*,LsT,915.00,59.85,347 963.00,kłodzki
9,"w
Polanica-Zdrój*",LsLz,6 713.00,46.42,339 382.43,kłodzki
10,Polanica-Zdrój*,LsLz,-,46.42,361 918.36,kłodzki
11,Przerzeczyn*,Ls,-,7.67,5 873.00,dzierŜoniowski
12,Stare Bogaczowice,Lz,-,0.62,b.d.,wałbrzyski
13,Stare Rochowice,Lz,-,41.04,b.d.,jaworski
14,Stary Wielisław*,Lz,664.85,20.80,535.20,kłodzki
15,"w
Szczawina*",Ls,97.00,3.40,2 935.00,kłodzki
16,Szczawno-Zdrój*,Lz,-,0.53,4 380.99,wałbrzyski
17,Świeradów-Zdrój*,LzLs,108.00,19.97,8 854.00,lubański
18,Trzebnica,LzT,-,6.00,nie ekspl.,trzebnicki
1,Ciechocinek*,LzT,-,479.00,"v
96 168.30",aleksandrowski
2,Marusza*,LzT,-,20.00,5 738.00,grudziądzki
3,Wieniec*,Lz,-,27.00,7 615.00,włocławski
1,Nałęczów*,Ls,-,26.00,85 851.00,puławski
1,Łagów,LzT,-,5.00,nie ekspl.,świebodziński
1,"Łódź (EC-2, otw. nr 3)",T,-,126.00,nie ekspl.,m. Łódź
2,Poddębice*,T,-,"g
190.00",nie ekspl.,poddębicki
3,Skierniewice,T,-,86.60,nie ekspl.,m. Skierniewice
4,Uniejów I*,T,-,120.00,410 412.00,poddębicki
1,Białka*,T,"i
983.334)",38.00,102 777.00,tatrzański
2,Bukowina*,T,4),40.00,274 505.00,tatrzański
3,Furmanowa,T,4),90.00,nie ekspl.,tatrzański
4,Galicjanka*,Lz,-,2.10,972.00,nowosądecki
5,Głębokie,Lz,"g
-",0.30,b.d.,nowosądecki
6,Krościenko n/Dunajcem,Lz,6.032),0.13,nie ekspl.,nowotarski
7,Krynica Dolna*,Lz,57.403),3.00,32.90,nowosądecki
8,Krynica-Zdrój*,LzLs,57.403),30.66,51 948.00,nowosądecki
9,Krzeszowice I*,Lz,-,7.21,2 637.90,krakowski
10,Leluchów,"p
Lz",0.84,0.40,b.d.,krośnieński
11,Łapczyca*,C,32 167.43**,3.70,4 270.50,bocheński
12,Łomnica-Zdrój,Lz,32.70,20.47,nie ekspl.,nowosądecki
13,Mateczny I*,".
Lz",-,8.50,nie ekspl.,buski
14,Muszyna II*,LzLs,71.40,84.09,116 502.00,nowosądecki
15,Muszynianka*,Lz,22.90,23.82,71 987.90,nowosądecki
16,Piwniczna-Głębokie*,Lz,33.30,26.25,80 859.30,nowosądecki
17,"w
Podhale 1*",T,4),670.00,3 482 280.00,"nowotarski,
tatrzański"
18,Poronin (PAN-1),T,4),70.00,nie ekspl.,tatrzański
19,Rabka-Zdrój*,LzT,2.28,6.44,3 361.01,nowotarski
20,Siwa Woda,T,4),5.00,nie ekspl.,tatrzański
21,Swoszowice*,Lz,-,6.16,8 055.00,buski
22,"w
Szczawa*",Lz,1.00,2.53,286.20,limanowski
23,Szczawiczne*,Lz,12.20,3.69,2 446.00,nowosądecki
24,Szczawnica I*,Lz,2),2.46,781.70,nowotarski
25,Szymoszkowa*,T,4),80.00,266 465.00,tatrzański
26,Tylicz I*,Lz,48.42,12.40,20 564.82,nowosądecki
27,Wapienne*,Ls,-,2.92,1 342.20,gorlicki
28,Witowskie Cieplice*,T,4),120.00,"v
nie ekspl.",nowotarski
29,Wysowa*,LzLs,-,11.93,16 109.10,nowosądecki
30,Zakopane*,T,4),130.00,377 183.00,tatrzański
31,Zubrzyk*,Lz,-,3.60,6 846.00,gorlicki
32,śegiestów-Zdrój*,Lz,3.40,4.90,"o
1 234.00",nowosądecki
1,Konstancin*,Lz,-,9.12,1 867.00,piaseczyński
2,Mszczonów*,T,-,60.00,329 092.00,Ŝyrardowski
1,Horyniec *,Ls,44.80,26.40,13 972.00,lubaczowski
2,Iwonicz*,LzLsT,-,41.09,40 220.00,krośnieński
3,Latoszyn,Lz,-,1.30,nie ekspl.,m. Kraków
4,Polańczyk*,Lz,".
-",0.75,192.70,leski
5,Rymanów*,Lz,-,13.47,12 978.00,krośnieński
1,Krynica Morska,T,-,44.70,nie ekspl.,nowodworski
2,Sopot*,Lz,-,44.00,29 956.00,m. Sopot
3,Ustka*,Lz,"g
-",31.00,nie ekspl.,słupski
1,Dębowiec II*,Lz,74.13,5.67,587.00,cieszyński
2,Goczałkowice-Zdrój*,Lz,329.80,2.34,1 413.62,pszczyński
3,Ustroń*,"p
LzT",25.00,2.20,5 245.00,cieszyński
4,Zabłocie-Korona *,Lz,-,0.64,18.20,cieszyński
1,Busko II*,Lz,14.58,16.75,60 871.20,buski
2,Busko-Północ*,".
Lz",-,6.00,20 201.35,buski
3,Dobrowoda*,Lz,-,8.00,nie ekspl.,buski
4,Las Winiarski*,Lz,-,3.11,10 392.10,buski
5,Solec-Zdrój*,Lz,7.001),0.96,4 580.90,buski
6,"w
Wełnin*",Lz,1),3.00,1 517.30,buski
1,Dobrów,T,-,60.00,nie ekspl.,kolski
2,Kotuń,LzT,-,15.70,nie ekspl.,pilski
3,Swarzędz,T,-,76.00,nie ekspl.,m. Poznań
1,Dziwnówek*,Lz,-,30.00,nie ekspl.,kamieński
2,Kamień Pomorski*,Lz,-,15.00,1 774.00,kamieński
3,Kołobrzeg II*,Lz,-,98.52,12 744.00,kołobrzeski
4,Międzywodzie,Lz,-,1.40,nie ekspl.,kamieński
5,Połczyn-Zdrój*,Lz,-,2.80,1 029.00,świdwiński
6,Pyrzyce*,T,-,340.00,"v
891 072.00",pyrzycki
7,Stargard Szczeciński I*,T,-,200.00,nie ekspl.,stargardzki
8,Świnoujście*,Lz,-,23.80,8 596.00,m. Świnoujście
