Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Złoty Stok,"
Z","537
20",-,-,ząbkowicki
1,Gierczyn,P,tylko pzb.,-,-,lwówecki
2,Krobica,P,tylko pzb.,-,-,lwówecki
