Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,ChomiąŜa,Z,309,-,-,głubczycki
2,Dewon-Pokrzywna,E,12 854,2 340,57,nyski
3,Dewon-Pokrzywna 2,P,2 264,-,-,nyski
1,Jegłowa,E,"
5 967",3 826,2,strzeliński
1,Jawornica,"
E",961,522,1,kłodzki
2,Orłowice,E,5 718,3 896,2,lwówecki
