Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Góra Sośnia (Dziwiszów),P,25 476,-,-,jeleniogórski
2,"
Kamienica Mała",R,21 695,-,-,jeleniogórski
3,Karpniki,E,10 377,2 590,31,jeleniogórski
4,Kopaniec,R,13 823,-,-,jeleniogórski
5,Maciejowa,P,35 907,-,-,jeleniogórski
6,"
Maciejowa II",R,18 021,-,-,m. Jelenia Góra
7,Pagórki Wschodnie,E,181,181,14,wrocławski
8,Proszowa-Kwieciszowice,R,7 597,-,-,lwówecki
9,Stary Łom,R,3 622,-,-,wrocławski
1,"
Siedlec",R,365,-,-,krakowski
2,Wygiełzów,P,tylko pzb.,-,-,chrzanowski
